ID,Name,CityName,OblName,Center,PostCode,NalSumLimit
"1,588","Адыгейск, Адыгея респ.",Адыгейск,Адыгея респ.,,385200,без ограничений
"1,590","Афипсип, Адыгея респ.",Афипсип,Адыгея респ.,,385123,без ограничений
"1,600","Козет, Адыгея респ.",Козет,Адыгея респ.,,385129,без ограничений
"1,229","Кошехабль, Адыгея респ.",Кошехабль,Адыгея респ.,,385400,1.00
"1,233","Майкоп, Адыгея респ.",Майкоп,Адыгея респ.,,385000,1.00
"1,083","Натырбово, Адыгея респ.",Натырбово,Адыгея респ.,,385434,1.00
"1,617","Псекупс, Адыгея респ.",Псекупс,Адыгея респ.,,385239,без ограничений
"1,350","Тахтамукай, Адыгея респ.",Тахтамукай,Адыгея респ.,,385100,без ограничений
"1,624","Тлюстенхабль, Адыгея респ.",Тлюстенхабль,Адыгея респ.,,385228,без ограничений
"1,627","Энем, Адыгея респ.",Энем,Адыгея респ.,,385130,без ограничений
323,"Яблоновский, Адыгея респ.",Яблоновский,Адыгея респ.,,385140,1.00
822,"Горно-Алтайск, Алтай респ.",Горно-Алтайск,Алтай респ.,,649000,10000.00
77,"Майма, Алтай респ.",Майма,Алтай респ.,,649100,1.00
795,"Алейск, Алтайский край",Алейск,Алтайский край,,658135,1.00
6,"Алтайское, Алтайский край",Алтайское,Алтайский край,,659650,1.00
"1,856","Баево, Алтайский край",Баево,Алтайский край,,658510,1.00
274,Барнаул,Барнаул,Алтайский край,*,"656000,656002,656003,656004,656006,656008,656010,656011,656012,656015,656016,656018,656019,656021,656023,656024,656025,656031,656033,656035,656036,656037,656038,656039,656040,656043,656044,656045,656047,656048,656049,656050,656052,656053,656054,656055,656",без ограничений
814,"Белокуриха, Алтайский край",Белокуриха,Алтайский край,,659900,1.00
275,Бийск,Бийск,Алтайский край,,659300,без ограничений
803,"Благовещенка, Алтайский край",Благовещенка,Алтайский край,,658670,1.00
809,"Бурла, Алтайский край",Бурла,Алтайский край,,658810,1.00
808,"Быстрый Исток, Алтайский край",Быстрый Исток,Алтайский край,,659564,1.00
"2,334","Верх-Суетка, Алтайский край",Верх-Суетка,Алтайский край,,658690,1.00
49,"Веселоярск, Алтайский край",Веселоярск,Алтайский край,,658248,1.00
"13,276","Власиха, Алтайский край",Власиха,Алтайский край,,656902,1.00
